"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","6/127","340/18862",0.0276273129450162,0.352270363776385,0.327380946667461,"EMD/WDR33/SRRM1/DDX20/KPNA1/XPO1",6
"GO:0007015","BP","GO:0007015","actin filament organization","7/127","435/18862",0.0279162961644745,0.352270363776385,0.327380946667461,"LPAR1/FSCN1/SPIRE2/ARPC2/NEBL/ROCK1/TPM4",7
"GO:0000280","BP","GO:0000280","nuclear division","7/127","436/18862",0.0282184219005027,0.352270363776385,0.327380946667461,"EMD/PRKCB/SPIRE2/ANKLE2/ATM/ATRX/CDK1",7
"GO:0070997","BP","GO:0070997","neuron death","6/127","342/18862",0.0283203425719998,0.352270363776385,0.327380946667461,"DPYSL4/EN1/WNT3A/AKT2/ATM/SRPK2",6
"GO:0016202","BP","GO:0016202","regulation of striated muscle tissue development","2/127","39/18862",0.028336870610189,0.352270363776385,0.327380946667461,"WNT3A/MRTFB",2
"GO:0061640","BP","GO:0061640","cytoskeleton-dependent cytokinesis","3/127","98/18862",0.0285393784698931,0.352270363776385,0.327380946667461,"SPIRE2/PDCD6IP/ROCK1",3
"GO:0051169","BP","GO:0051169","nuclear transport","6/127","343/18862",0.0286711363073583,0.352270363776385,0.327380946667461,"EMD/WDR33/SRRM1/DDX20/KPNA1/XPO1",6
"GO:0031330","BP","GO:0031330","negative regulation of cellular catabolic process","5/127","255/18862",0.0292050545799703,0.354600999802096,0.329546913228643,"CIRBP/SCFD1/WAC/ROCK1/TAF15",5
"GO:0031124","BP","GO:0031124","mRNA 3'-end processing","3/127","99/18862",0.0292903510991085,0.354600999802096,0.329546913228643,"WDR33/SRRM1/PAPOLA",3
"GO:0006308","BP","GO:0006308","DNA catabolic process","2/127","40/18862",0.0296990509540001,0.354600999802096,0.329546913228643,"KPNA1/ATM",2
"GO:0031297","BP","GO:0031297","replication fork processing","2/127","40/18862",0.0296990509540001,0.354600999802096,0.329546913228643,"MMS22L/ATRX",2
"GO:0006650","BP","GO:0006650","glycerophospholipid metabolic process","6/127","346/18862",0.0297407290156597,0.354600999802096,0.329546913228643,"AGPAT1/ABHD4/ATM/ETNK1/PLEKHA1/MTMR1",6
"GO:0048024","BP","GO:0048024","regulation of mRNA splicing, via spliceosome","3/127","100/18862",0.0300517423790286,0.356201534669075,0.331034363419764,"CIRBP/SRPK2/TIA1",3
"GO:0019058","BP","GO:0019058","viral life cycle","6/127","348/18862",0.0304682116771999,0.359026003096829,0.333659270998699,"PDCD6IP/KPNA1/PCBP2/SRPK2/XPO1/CDK1",6
"GO:0022037","BP","GO:0022037","metencephalon development","3/127","101/18862",0.0308235374465202,0.360000369870807,0.334564794567149,"LPAR1/EN1/CKB",3
"GO:0010591","BP","GO:0010591","regulation of lamellipodium assembly","2/127","41/18862",0.0310868805744518,0.360000369870807,0.334564794567149,"FSCN1/ARPC2",2
"GO:1901861","BP","GO:1901861","regulation of muscle tissue development","2/127","41/18862",0.0310868805744518,0.360000369870807,0.334564794567149,"WNT3A/MRTFB",2
"GO:0060999","BP","GO:0060999","positive regulation of dendritic spine development","2/127","42/18862",0.0324999582084013,0.374213804513877,0.347773988888697,"FOXO6/LPAR1",2
"GO:0048634","BP","GO:0048634","regulation of muscle organ development","2/127","43/18862",0.0339378867579474,0.38711853418593,0.359766943877116,"WNT3A/MRTFB",2
"GO:0030330","BP","GO:0030330","DNA damage response, signal transduction by p53 class mediator","3/127","106/18862",0.0348379594954173,0.38711853418593,0.359766943877116,"ATM/ATRX/CDK1",3
"GO:0120034","BP","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","3/127","106/18862",0.0348379594954173,0.38711853418593,0.359766943877116,"FSCN1/ARPC2/FNBP1L",3
"GO:0006302","BP","GO:0006302","double-strand break repair","5/127","268/18862",0.0350608580884502,0.38711853418593,0.359766943877116,"SPIRE2/MMS22L/ATM/RADX/TRIP12",5
"GO:0006611","BP","GO:0006611","protein export from nucleus","4/127","183/18862",0.0353048211456838,0.38711853418593,0.359766943877116,"EMD/WDR33/SRRM1/XPO1",4
"GO:0006904","BP","GO:0006904","vesicle docking involved in exocytosis","2/127","44/18862",0.0354002732532627,0.38711853418593,0.359766943877116,"VPS45/SCFD1",2
"GO:0060324","BP","GO:0060324","face development","2/127","44/18862",0.0354002732532627,0.38711853418593,0.359766943877116,"PLEKHA1/ZFAND5",2
"GO:0034968","BP","GO:0034968","histone lysine methylation","3/127","107/18862",0.0356717938573758,0.38711853418593,0.359766943877116,"SUZ12/ATRX/NSD3",3
"GO:2000278","BP","GO:2000278","regulation of DNA biosynthetic process","3/127","107/18862",0.0356717938573758,0.38711853418593,0.359766943877116,"CCT5/ATM/TCP1",3
"GO:0071156","BP","GO:0071156","regulation of cell cycle arrest","3/127","108/18862",0.0365158928154941,0.38711853418593,0.359766943877116,"AKT2/ATM/CDK1",3
"GO:1902275","BP","GO:1902275","regulation of chromatin organization","4/127","185/18862",0.0365168518513981,0.38711853418593,0.359766943877116,"ATM/ATRX/NSD3/TRIP12",4
"GO:0006378","BP","GO:0006378","mRNA polyadenylation","2/127","45/18862",0.0368867288157313,0.38711853418593,0.359766943877116,"WDR33/PAPOLA",2
"GO:0010828","BP","GO:0010828","positive regulation of glucose transmembrane transport","2/127","45/18862",0.0368867288157313,0.38711853418593,0.359766943877116,"ERFE/AKT2",2
"GO:0018023","BP","GO:0018023","peptidyl-lysine trimethylation","2/127","45/18862",0.0368867288157313,0.38711853418593,0.359766943877116,"ATRX/NSD3",2
"GO:0035088","BP","GO:0035088","establishment or maintenance of apical/basal cell polarity","2/127","45/18862",0.0368867288157313,0.38711853418593,0.359766943877116,"FSCN1/PDCD6IP",2
"GO:0048538","BP","GO:0048538","thymus development","2/127","45/18862",0.0368867288157313,0.38711853418593,0.359766943877116,"ASXL1/ATM",2
"GO:0061245","BP","GO:0061245","establishment or maintenance of bipolar cell polarity","2/127","45/18862",0.0368867288157313,0.38711853418593,0.359766943877116,"FSCN1/PDCD6IP",2
"GO:1904659","BP","GO:1904659","glucose transmembrane transport","3/127","109/18862",0.0373702317478137,0.390160709698676,0.362594176598639,"PRKCB/ERFE/AKT2",3
"GO:1902115","BP","GO:1902115","regulation of organelle assembly","4/127","187/18862",0.0377527286860237,0.390756011475247,0.363147417742962,"FSCN1/PDCD6IP/SCFD1/TRAPPC12",4
"GO:0043488","BP","GO:0043488","regulation of mRNA stability","4/127","188/18862",0.0383796169126671,0.390756011475247,0.363147417742962,"CIRBP/ROCK1/XPO1/TAF15",4
"GO:0035329","BP","GO:0035329","hippo signaling","2/127","46/18862",0.0383968686213891,0.390756011475247,0.363147417742962,"MARK3/FAT4",2
"GO:0043631","BP","GO:0043631","RNA polyadenylation","2/127","46/18862",0.0383968686213891,0.390756011475247,0.363147417742962,"WDR33/PAPOLA",2
"GO:0051489","BP","GO:0051489","regulation of filopodium assembly","2/127","46/18862",0.0383968686213891,0.390756011475247,0.363147417742962,"FSCN1/FNBP1L",2
"GO:1903959","BP","GO:1903959","regulation of anion transmembrane transport","3/127","111/18862",0.0391095254912922,0.394359296570924,0.366496115240785,"PRKCB/ERFE/AKT2",3
"GO:0060537","BP","GO:0060537","muscle tissue development","6/127","371/18862",0.0396824734408781,0.394359296570924,0.366496115240785,"EMD/WNT3A/NEBL/MRTFB/ZFAND5/CCNT2",6
"GO:0008645","BP","GO:0008645","hexose transmembrane transport","3/127","112/18862",0.0399944255688894,0.394359296570924,0.366496115240785,"PRKCB/ERFE/AKT2",3
"GO:0021782","BP","GO:0021782","glial cell development","3/127","112/18862",0.0399944255688894,0.394359296570924,0.366496115240785,"TSPAN2/LPAR1/AKT2",3
"GO:0048193","BP","GO:0048193","Golgi vesicle transport","6/127","372/18862",0.0401191587981419,0.394359296570924,0.366496115240785,"SPIRE2/TFG/MON2/SCFD1/TRAPPC12/PPP6R3",6
"GO:0006260","BP","GO:0006260","DNA replication","5/127","280/18862",0.0410696949594789,0.394359296570924,0.366496115240785,"MMS22L/ATM/ATRX/SRPK2/CDK1",5
"GO:0035850","BP","GO:0035850","epithelial cell differentiation involved in kidney development","2/127","48/18862",0.0414866817224246,0.394359296570924,0.366496115240785,"ASXL1/FAT4",2
"GO:0061028","BP","GO:0061028","establishment of endothelial barrier","2/127","48/18862",0.0414866817224246,0.394359296570924,0.366496115240785,"AFDN/ROCK1",2
"GO:1902003","BP","GO:1902003","regulation of amyloid-beta formation","2/127","48/18862",0.0414866817224246,0.394359296570924,0.366496115240785,"SLC2A13/ROCK1",2
"GO:2000191","BP","GO:2000191","regulation of fatty acid transport","2/127","48/18862",0.0414866817224246,0.394359296570924,0.366496115240785,"ERFE/AKT2",2
"GO:0015749","BP","GO:0015749","monosaccharide transmembrane transport","3/127","114/18862",0.0417945873949111,0.394359296570924,0.366496115240785,"PRKCB/ERFE/AKT2",3
"GO:0009566","BP","GO:0009566","fertilization","4/127","194/18862",0.04226635773202,0.394359296570924,0.366496115240785,"CCT5/TCP1/CDK1/UBAP2L",4
"GO:0016579","BP","GO:0016579","protein deubiquitination","5/127","283/18862",0.0426637418221049,0.394359296570924,0.366496115240785,"MYSM1/ASXL1/USP22/USP9X/CDK1",5
"GO:0007009","BP","GO:0007009","plasma membrane organization","3/127","115/18862",0.0427097881738534,0.394359296570924,0.366496115240785,"AKT2/FNBP1L/FAT4",3
"GO:0006654","BP","GO:0006654","phosphatidic acid biosynthetic process","2/127","49/18862",0.0430656053182975,0.394359296570924,0.366496115240785,"AGPAT1/ABHD4",2
"GO:0045005","BP","GO:0045005","DNA-dependent DNA replication maintenance of fidelity","2/127","49/18862",0.0430656053182975,0.394359296570924,0.366496115240785,"MMS22L/ATRX",2
"GO:0006661","BP","GO:0006661","phosphatidylinositol biosynthetic process","3/127","116/18862",0.0436350265587644,0.394359296570924,0.366496115240785,"ATM/PLEKHA1/MTMR1",3
"GO:0034219","BP","GO:0034219","carbohydrate transmembrane transport","3/127","116/18862",0.0436350265587644,0.394359296570924,0.366496115240785,"PRKCB/ERFE/AKT2",3
"GO:0043487","BP","GO:0043487","regulation of RNA stability","4/127","198/18862",0.0449769890952878,0.394359296570924,0.366496115240785,"CIRBP/ROCK1/XPO1/TAF15",4
"GO:0018107","BP","GO:0018107","peptidyl-threonine phosphorylation","3/127","118/18862",0.0455154834354103,0.394359296570924,0.366496115240785,"PRKCB/ROCK1/CDK1",3
"GO:0001501","BP","GO:0001501","skeletal system development","7/127","486/18862",0.0462761248545668,0.394359296570924,0.366496115240785,"EN1/DEAF1/ASXL1/HOXC6/PLEKHA1/ZFAND5/FAT4",7
"GO:0048285","BP","GO:0048285","organelle fission","7/127","486/18862",0.0462761248545668,0.394359296570924,0.366496115240785,"EMD/PRKCB/SPIRE2/ANKLE2/ATM/ATRX/CDK1",7
"GO:0046473","BP","GO:0046473","phosphatidic acid metabolic process","2/127","51/18862",0.0462896417408284,0.394359296570924,0.366496115240785,"AGPAT1/ABHD4",2
"GO:2000677","BP","GO:2000677","regulation of transcription regulatory region DNA binding","2/127","51/18862",0.0462896417408284,0.394359296570924,0.366496115240785,"WNT3A/PAX6",2
"GO:0043666","BP","GO:0043666","regulation of phosphoprotein phosphatase activity","3/127","119/18862",0.0464706332269207,0.394359296570924,0.366496115240785,"ANKLE2/PPP6R3/ROCK1",3
"GO:0051168","BP","GO:0051168","nuclear export","4/127","201/18862",0.0470726377752867,0.394359296570924,0.366496115240785,"EMD/WDR33/SRRM1/XPO1",4
"GO:0051236","BP","GO:0051236","establishment of RNA localization","4/127","201/18862",0.0470726377752867,0.394359296570924,0.366496115240785,"WDR33/SRRM1/ATM/XPO1",4
"GO:0060271","BP","GO:0060271","cilium assembly","6/127","388/18862",0.0475244580204902,0.394359296570924,0.366496115240785,"INTU/CEP83/FNBP1L/CFAP44/CEP290/CDK1",6
"GO:0032784","BP","GO:0032784","regulation of DNA-templated transcription, elongation","2/127","52/18862",0.0479340282317171,0.394359296570924,0.366496115240785,"TCERG1/CCNT2",2
"GO:0045010","BP","GO:0045010","actin nucleation","2/127","52/18862",0.0479340282317171,0.394359296570924,0.366496115240785,"SPIRE2/ARPC2",2
"GO:0048255","BP","GO:0048255","mRNA stabilization","2/127","52/18862",0.0479340282317171,0.394359296570924,0.366496115240785,"CIRBP/TAF15",2
"GO:0051155","BP","GO:0051155","positive regulation of striated muscle cell differentiation","2/127","52/18862",0.0479340282317171,0.394359296570924,0.366496115240785,"WNT3A/MORF4L2",2
"GO:0006304","BP","GO:0006304","DNA modification","3/127","121/18862",0.0484105969399431,0.394359296570924,0.366496115240785,"SMUG1/ATRX/USP9X",3
"GO:0010811","BP","GO:0010811","positive regulation of cell-substrate adhesion","3/127","121/18862",0.0484105969399431,0.394359296570924,0.366496115240785,"ARPC2/ROCK1/UTRN",3
"GO:0009952","BP","GO:0009952","anterior/posterior pattern specification","4/127","203/18862",0.0484995437293602,0.394359296570924,0.366496115240785,"EN1/WNT3A/HOXC6/ATM",4
"GO:0018205","BP","GO:0018205","peptidyl-lysine modification","6/127","391/18862",0.0490014102327168,0.394359296570924,0.366496115240785,"BRD8/USP22/SUZ12/ATRX/NSD3/MORF4L2",6
"GO:0045599","BP","GO:0045599","negative regulation of fat cell differentiation","2/127","53/18862",0.049599515719888,0.394359296570924,0.366496115240785,"WNT3A/ASXL1",2
"GO:1902743","BP","GO:1902743","regulation of lamellipodium organization","2/127","53/18862",0.049599515719888,0.394359296570924,0.366496115240785,"FSCN1/ARPC2",2
"GO:0018022","BP","GO:0018022","peptidyl-lysine methylation","3/127","123/18862",0.0503898644695306,0.394359296570924,0.366496115240785,"SUZ12/ATRX/NSD3",3
"GO:0006888","BP","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","4/127","206/18862",0.0506845377101272,0.394359296570924,0.366496115240785,"TFG/SCFD1/TRAPPC12/PPP6R3",4
"GO:0001954","BP","GO:0001954","positive regulation of cell-matrix adhesion","2/127","54/18862",0.0512857505380562,0.394359296570924,0.366496115240785,"ROCK1/UTRN",2
"GO:0043525","BP","GO:0043525","positive regulation of neuron apoptotic process","2/127","54/18862",0.0512857505380562,0.394359296570924,0.366496115240785,"ATM/SRPK2",2
"GO:0042552","BP","GO:0042552","myelination","3/127","124/18862",0.0513941408499117,0.394359296570924,0.366496115240785,"TSPAN2/LPAR1/AKT2",3
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","3/127","124/18862",0.0513941408499117,0.394359296570924,0.366496115240785,"ATM/RADX/TRIP12",3
"GO:0070646","BP","GO:0070646","protein modification by small protein removal","5/127","300/18862",0.0523979233361963,0.394359296570924,0.366496115240785,"MYSM1/ASXL1/USP22/USP9X/CDK1",5
"GO:0045814","BP","GO:0045814","negative regulation of gene expression, epigenetic","3/127","125/18862",0.0524081259610418,0.394359296570924,0.366496115240785,"CDKN2B-AS1/SUZ12/MORF4L2",3
"GO:0045216","BP","GO:0045216","cell-cell junction organization","4/127","209/18862",0.052922977799416,0.394359296570924,0.366496115240785,"FSCN1/PDCD6IP/AFDN/ROCK1",4
"GO:0051650","BP","GO:0051650","establishment of vesicle localization","4/127","209/18862",0.052922977799416,0.394359296570924,0.366496115240785,"TFG/SCFD1/FNBP1L/PPP6R3",4
"GO:1902991","BP","GO:1902991","regulation of amyloid precursor protein catabolic process","2/127","55/18862",0.0529923827578094,0.394359296570924,0.366496115240785,"SLC2A13/ROCK1",2
"GO:0007272","BP","GO:0007272","ensheathment of neurons","3/127","126/18862",0.0534317790474237,0.394359296570924,0.366496115240785,"TSPAN2/LPAR1/AKT2",3
"GO:0008366","BP","GO:0008366","axon ensheathment","3/127","126/18862",0.0534317790474237,0.394359296570924,0.366496115240785,"TSPAN2/LPAR1/AKT2",3
"GO:0010001","BP","GO:0010001","glial cell differentiation","4/127","210/18862",0.0536809748472533,0.394359296570924,0.366496115240785,"TSPAN2/LPAR1/AKT2/CDK1",4
"GO:0035303","BP","GO:0035303","regulation of dephosphorylation","4/127","210/18862",0.0536809748472533,0.394359296570924,0.366496115240785,"ANKLE2/PPP6R3/ROCK1/MTMR1",4
"GO:0061013","BP","GO:0061013","regulation of mRNA catabolic process","4/127","210/18862",0.0536809748472533,0.394359296570924,0.366496115240785,"CIRBP/ROCK1/XPO1/TAF15",4
"GO:0018210","BP","GO:0018210","peptidyl-threonine modification","3/127","127/18862",0.0544650585785966,0.394359296570924,0.366496115240785,"PRKCB/ROCK1/CDK1",3
"GO:0006977","BP","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","2/127","56/18862",0.0547190661559517,0.394359296570924,0.366496115240785,"ATM/CDK1",2
"GO:0043388","BP","GO:0043388","positive regulation of DNA binding","2/127","56/18862",0.0547190661559517,0.394359296570924,0.366496115240785,"WNT3A/PAX6",2
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","4/127","212/18862",0.0552147052455449,0.394359296570924,0.366496115240785,"FSCN1/PDCD6IP/ROCK1/DST",4
"GO:0034205","BP","GO:0034205","amyloid-beta formation","2/127","57/18862",0.0564654581811265,0.394359296570924,0.366496115240785,"SLC2A13/ROCK1",2
"GO:0048008","BP","GO:0048008","platelet-derived growth factor receptor signaling pathway","2/127","57/18862",0.0564654581811265,0.394359296570924,0.366496115240785,"PLEKHA1/ZFAND5",2
"GO:0072431","BP","GO:0072431","signal transduction involved in mitotic G1 DNA damage checkpoint","2/127","57/18862",0.0564654581811265,0.394359296570924,0.366496115240785,"ATM/CDK1",2
"GO:0075733","BP","GO:0075733","intracellular transport of virus","2/127","57/18862",0.0564654581811265,0.394359296570924,0.366496115240785,"KPNA1/XPO1",2
"GO:1902400","BP","GO:1902400","intracellular signal transduction involved in G1 DNA damage checkpoint","2/127","57/18862",0.0564654581811265,0.394359296570924,0.366496115240785,"ATM/CDK1",2
"GO:0006282","BP","GO:0006282","regulation of DNA repair","3/127","130/18862",0.0576222292831517,0.394359296570924,0.366496115240785,"SPIRE2/RADX/TRIP12",3
"GO:0016571","BP","GO:0016571","histone methylation","3/127","130/18862",0.0576222292831517,0.394359296570924,0.366496115240785,"SUZ12/ATRX/NSD3",3
"GO:0071426","BP","GO:0071426","ribonucleoprotein complex export from nucleus","3/127","130/18862",0.0576222292831517,0.394359296570924,0.366496115240785,"WDR33/SRRM1/XPO1",3
"GO:1900180","BP","GO:1900180","regulation of protein localization to nucleus","3/127","130/18862",0.0576222292831517,0.394359296570924,0.366496115240785,"CCT5/TCP1/CDK1",3
"GO:0030865","BP","GO:0030865","cortical cytoskeleton organization","2/127","58/18862",0.0582312199207142,0.394359296570924,0.366496115240785,"PDCD6IP/ROCK1",2
